อัพเดจราคาวันที่  11/1/65เจล&สเปรย์,,,,,,,,,,,,,,,,
NO,รูปภาพ,รหัสสินค้า,รายละเอียด,จำนวน / ราคาแบบมีแอลกอฮอล์,,,,,จำนวน / ไม่มีแอลกอฮอล์,,,,ขนาดโลโก้ สกรีน,ขนาดโลโก้ สติกเกอร์,ข้อจำกัด ,หมายเหตุ
10,,SP-11 (50 ml),"ประเภท : ขวดเจล
ขนาด: Ø ปากขวด 20 mm*สูง 138 mm *กว้าง27 mm
วัสดุ:PETG
ความจุ: 50 ML.
สี:สีใส",20,19,18,17,ถามจัดซื้อ,9,8.5,8,ถามจัดซื้อ," 
26.8*43 "," 
30*48 ","* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
2 บาท ",
11,,SP-12 (30 ml),"ประเภท : ขวดสเปรย์
ขนาด : สูง 96mm x กว้าง 50mm
วัสดุ : พลาสติก PP
ปริมาตร : 30 ML.
สี : ขาว
การใช้งาน : บรรจุแอลกอฮอล์",27,25,23,22,ถามจัดซื้อ,17,16,14,ถามจัดซื้อ," 
40*47 ",ถามกราฟฟิก,"* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
2 บาท ",
12,, SP-13 (10 ml),"ประเภท : ขวดสเปรย์
ขนาดกล่อง : กว้าง 2.4*สูง 9 cm
วัสดุ : พลาสติก PP
ปริมาตร : 10 ML.
สี : ขาว , ชมพู
",25,24,23,22,ถามจัดซื้อ,17,16,15,ถามจัดซื้อ," 
60*11 ",no,"* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
2 บาท ",
13,,"SP-14 (200 ml )
มี 2 ขนาด ค่ะ ","ประเภท : ขวดสเปรย์
ขนาด : 19.5cm x 5.4cm 
วัสดุ : พลาสติกPP
ปริมาตร : 200ml
สี : สีขาว
การใช้งาน : บรรจุแอลกอฮอล์,น้ำหอม",135,130,125,120,ถามจัดซื้อ,95,,,ถามจัดซื้อ,ถามกราฟฟิก,ถามกราฟฟิก,"* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
2 บาท ",
14,,"SP-14 (300 ml )
มี 2 ขนาด ค่ะ ","ประเภท : ขวดสเปรย์
ขนาด : 24.5cm x 5.9cm
วัสดุ : พลาสติกPP
ปริมาตร : 300ml
สี : สีขาว
การใช้งาน : บรรจุแอลกอฮอล์,น้ำหอม",139,135,130,125,ถามจัดซื้อ,99,,,ถามจัดซื้อ,ถามกราฟฟิก,ถามกราฟฟิก,"* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
2 บาท ",
15,,SP-09 (50 ml),"ขนาดกล่อง : กว้าง 5.7*สูง 10 cm
วัสดุ : พลาสติกPP+PET
ปริมาตร : 50 ML.
สี : สีขาว
การใช้งาน : บรรจุแอลกอฮอล์",39,38,37,35,ถามจัดซื้อ,25,22,20,ถามจัดซื้อ," 
47*50 "," 
47*50 ","* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
3 บาท ",
16,,SC-06(10 ml),"ขนาด : สูง 126mm x กว้าง 15 mm
วัสดุ : พลาสติกPP
ปริมาตร : 10 ml.
สี : สีใส , สีน้ำเงิน , สีส้ม
การใช้งาน : บรรจุแอลกอฮอล์,น้ำหอม",19,18,17,16,ถามจัดซื้อ,10,9.5,9,ถามจัดซื้อ,"
ถามฝ่ายผลิต ค่ะ","
ถามฝ่ายผลิต ค่ะ","* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
2 บาท ",
17,,SP-05,"รหัสสินค้า :SP-05
ขนาด : Ø ปากขวด 23mm*สูง 116mm *กว้าง 30mm
ปริมาตร/ความจุ: 30 ml
วัสดุ : PP สี : ฟ้า / เขียวเข้ม / ขาว / น้ำเงิน / ดำ / ม่วง / ชมพู / แดง
การใช้งาน : บรรจุแอลกอฮอล์ / พร้อมสายคล้องคอ
ผลิตขั้นต่ำ :  100 ชิ้น
ระยะเวลาการผลิต :  10-20 วัน ( ขึ้นอยู่กับจำนวน)",49,45,42,38,ถามจัดซื้อ,29,28,27,ถามจัดซื้อ,"
ถามฝ่ายผลิต ค่ะ","
ถามฝ่ายผลิต ค่ะ","* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
2 บาท ",
18,,HO-01,"ตะขอ มีให้เลือก  6 สี 
 ม่วง  เขียว  เงิน แดง  น้ำเงิน  ส้ม
",5,,4,,ถามจัดซื้อ,,,,,,,,
19,,SC-06,"ซิลิโคน ใส่ SP-07 และ  SP-09มีให้เลือก  7  สี  
ดำ  แดง  ชมพู   ฟ้า  เขียวเหลือง  ม่วง
","17

สินค้าในไทย",,"17

สินค้าในไทย",,ถามจัดซื้อ,,,,,,,,
20,,LY-01,"สายคล้องคอ
มีให้เลือก  7  สี 
ชมพู/ม่วง/ฟ้า/ดำ/เหลือง/แดง/เขียว",6,,6,,ถามจัดซื้อ,,,,,,,,
21,,MB-01,"กล่องใส่แมส 
รหัสสินค้า ：MB-01
ขนาด 19*11 CM
สี：กรม/ครีม/ขาว/เขียว
วัสดุ ：พลาสติก PP
รูแบบโลโก้:สกรีน/สติกเกอร์ 
บรรจุภัณฑ์ ：ถุง opp 1：1
ระยะเวลาการผลิต ：15-20  วัน
การใช้งาน : ใส่แมสสำหรับพกพา
",25,,23,,ถามจัดซื้อ,,,,,,,,
22,,MB-02,"กล่องใส่แมส 
รหัสสินค้า ：MB-01
ขนาด 13*13 CM
สี：กรม/ครีม/ขาว/เขียว
วัสดุ ：พลาสติก PP
รูปแบบโลโก้:สกรีน/สติกเกอร์ 
บรรจุภัณฑ์ ：ถุง opp 1：1
ระยะเวลาการผลิต ：15-20  วัน
การใช้งาน : ใส่แมสสำหรับพกพา
",24,,22,,ถามจัดซื้อ,,,,,,,,
23,,PVC-01,ถุง  pvc ใส แบบ ไม่ขยายก้น,"10 บาท 
ราคาไม่รวมสกรีน
สกรีน เพิ่มสีละ 5 บาท ","10 บาท 
ราคาไม่รวมสกรีน
สกรีน เพิ่มสีละ 5 บาท ","10 บาท 
ราคาไม่รวมสกรีน
สกรีน เพิ่มสีละ 5 บาท ","10 บาท 
ราคาไม่รวมสกรีน
สกรีน เพิ่มสีละ 5 บาท ","10 บาท 
ราคาไม่รวมสกรีน
สกรีน เพิ่มสีละ 5 บาท ",,,,,,,,
24,,PVC-02,ถุุง pvc ใส  แบบขยายก้น,"15 บาท 
ราคาไม่รวมสกรีน
สกรีน เพิ่มสีละ 5 บาท ","15 บาท 
ราคาไม่รวมสกรีน
สกรีน เพิ่มสีละ 5 บาท ","15 บาท 
ราคาไม่รวมสกรีน
สกรีน เพิ่มสีละ 5 บาท ","15 บาท 
ราคาไม่รวมสกรีน
สกรีน เพิ่มสีละ 5 บาท ","15 บาท 
ราคาไม่รวมสกรีน
สกรีน เพิ่มสีละ 5 บาท ",,,,,,,,
25,,"SP-07/SP-09
+ BOX  SP-07 ","ตลับสเปรย์+กล่อง
1. ตลับสเปรย์ สกรีน 1 สี 1 จุด
2. กล่องสกรีน 1 สี 1 จุด",59,57,55,53,50,,,,,,,,
"หมายเหตุ  :
1.ราคาที่เสนอไปเป็นราคาสกรีน 1 สี 1 จุด 
หรือสติกเกรอ์แบบขาว 1 ด้าน  บนตัวสินค้า 
",,,,,,,,,,,,,,,,
