ตารางราคา Gift Set NoteBook,,,,,,,,,
NO,รหัสสินค้า,รูปภาพ,รายละเอียด,จำนวน,ราคา ,บรรจุภัณฑ์,รูปแบบโลโก้,ข้อจำกัด ,หมายเหตุ
4,SET DY-05,,"1. ขั้นต่ำ 300 ชิ้น 
2.ขนาดปก(A5) 15.0*22.01CM
3.จำนวน 100 แผ่น
4.ขนาดกระดาษ(A5)14.2*20.8CM 
5. กระดาษ 80 แกรม แบบถนอมสายตา",300 ชิ้น,205.-,กล่องกระดาษ,"1.บนสมุด สกรีน 1 สี 1 จุด
2.กล่อง สกรีน 1 สี 1 จุด  +5.-
3.ปากกาไม่สกรีนโลโก้ค่ะ
4.มีถุงกระดาษแถมให้ ฟรีค่ะ",,
,,,,301-500 ชิ้น,205.-,,,,
,,,,501-1000 ชิ้น,199.-,,,,
,,,,,,,,,
5,SET DY-06,,"1. ขั้นต่ำ 300 ชิ้น 
2.ขนาดปก(A5)14.8*21.1CM
3.จำนวน 100 แผ่น
4.ขนาดกระดาษ(A5)14.2*20.8CM 
5. กระดาษ  80 แกรม แบบถนอมสายตา",300 ชิ้น,165.-,กล่องกระดาษ,"1.บนสมุด สกรีน 1 สี 1 จุด
2.กล่อง สกรีน 1 สี 1 จุด  +5.-
3.ปากกาไม่สกรีนโลโก้ค่ะ
4.มีถุงกระดาษแถมให้ ฟรีค่ะ",,
,,,,301-500 ชิ้น,165.-,,,,
,,,,501-1000 ชิ้น,159.-,,,,
,,,,,,,,,
6,SET DY-07,,"1. ขั้นต่ำ 300 ชิ้น 
2.ขนาดปก(B5) 16.5*23.0 CM
3.จำนวน 100 แผ่น
4.ขนาดกระดาษ(A5)14.2*20.8CM 
5. กระดาษ  80  แกรม แบบถนอมสายตา",300 ชิ้น,225.-,กล่องกระดาษ,"1.บนสมุด สกรีน 1 สี 1 จุด
2.กล่อง สกรีน 1 สี 1 จุด  +5.-
3.ปากกาไม่สกรีนโลโก้ค่ะ
4.มีถุงกระดาษแถมให้ ฟรีค่ะ",,
,,,,301-500 ชิ้น,225.-,,,,
,,,,501-1000 ชิ้น,220.-,,,,
,,,,,,,,,
7,SET DY-08,,"1. ขั้นต่ำ 500 ชิ้น 
2.ขนาดกระเป๋า：18.5*24CM
3.ขนาดปก 16.5*23.0 CM
4.จำนวน กระดาษ  100 แผ่น
5.ขนาดกระดาษ(A5)14.2*20.8CM 
6.กระดาษ  80 แกรม แบบถนอมสายตา",500 ชิ้น,319,ถุงOPP,"1.บนสมุด สกรีน 1 สี 1 จุด
2.กล่อง สกรีน 1 สี 1 จุด  +5.-
3.ปากกาไม่สกรีนโลโก้ค่ะ
",,
,,,,501-1000 ชิ้น,315.-,,,,
,,,,,,,,,
8,SET DY-09,,"1. ขั้นต่ำ 500 ชิ้น 
2.ขนาดแฟ้ม 25.0*33.2 CM
3.จำนวนกระดาษ 30 แผ่น
4.ขนาดกระดาษ(A4) 21*29CM 
5. กระดาษ 80 แกรม แบบถนอมสายตา",500 ชิ้น,179.-,ถุงOPP,"1.บนสมุด สกรีน 1 สี 1 จุด
2.ปากกาไม่สกรีนโลโก้ค่ะ


",,
,,,,501-1000 ชิ้น,175.-,,,,
